id;start_date;end_date;premium;deductible;is_active;timestamp
1;2020-04-04;2020-04-04;89819;5836;false;2020-04-05
2;2020-04-05;2020-04-04;85331;43190;false;2020-04-05
3;2020-04-05;2020-04-05;68693;3467;true;2020-04-04
4;2020-04-05;2020-04-05;65645;37272;true;2020-04-05
5;2020-04-04;2020-04-04;40021;65317;true;2020-04-04
6;2020-04-04;2020-04-05;6847;60713;false;2020-04-05
7;2020-04-05;2020-04-05;30494;76940;true;2020-04-05
8;2020-04-04;2020-04-04;47154;92271;true;2020-04-05
9;2020-04-05;2020-04-05;74046;34789;false;2020-04-05
10;2020-04-04;2020-04-04;11545;91826;true;2020-04-05
