id;ref;start_date;end_date;premium;i_pt
1;Chips;2020-04-05;2020-04-04;41522;Table pink info-mediaries
2;Fresh input white;2020-04-05;2020-04-05;77668;indigo Fresh
3;Buckinghamshire aggregate;2020-04-04;2020-04-04;53816;Music Via Argentina
4;Greenland Incredible ability;2020-04-04;2020-04-05;46135;Maryland Metal
5;Incredible;2020-04-04;2020-04-05;93419;Specialist backing up Global
6;markets;2020-04-04;2020-04-04;87687;Hat orange
7;Walk;2020-04-05;2020-04-05;59044;deposit
8;Computer UAE Dirham;2020-04-04;2020-04-05;46630;Program Gloves
9;Soft Avon Arizona;2020-04-05;2020-04-05;29340;incremental
10;Sleek Plastic Salad Brook optimize;2020-04-05;2020-04-04;55473;Innovative
